day,Quote,Month,
1,Every idea that strengthens you must be taken up and every thought that weakens you must rejected.,April,
2,"Be of good cheer and believe that we are selected by the Lord to do great things, and we will do them.",April,
3,"Each thought is a little hammer. Blow on the lump of iron which our bodies are, manufacturing out of it what we want it to be. We are what our thoughts have made us; so take care of what you think.",April,
4,"The purer the mind, the easier it is to control it. The mind takes every thought that rises and work it out out. The grosser the mind, the more difficult to control it",April,
5,"The less the thought of the body, the better. For it is the body that drags us down. It is attachment, identification, which makes us miserable",April,
6,Thinks do not grow better. They remain as they are; and we grow better by the changes we make in them.,April,
7,"Day and night never come together; So desire and the Lord, can never come together",April,
8,"Along with the development of concentration, we must develop the power detachment. ",April,
9,Condemnation accomplishes nothing,April,
10,There is no greater sin than cowardice; Cowards are never saved -- That is sure,April,
11,Misery is a great teacher than happiness,April,
12,"That which tends to increase the divinity in you is virtue, and that tends to increase brutality is vice",April,vice - immoral or wicked behaviour
13,"There is no limit to man's desires; He goes on desiring, and when he comes to a point where desire cannot be fulfilled, the result is pain.",April,
14,Faith in God and in one's own self is virtue; Doubt is sin.,April,
15,"To succeed, you must have tremendous perseverance, tremendous will. ""I will drink the ocean"" - Says the persevering soul, ""At my will mountains will crumble up"" - Have that sort of energy, that sort of will, work hard, and you will reach the goal",April,
16,"It is better, far better, to die on the field of beauty, preaching the truth, than to die like a worldly worm",April,
17,Chastity is the first virtue in man or woman,April,
18,"In every attempt there will be one set of men who will applaud, and the another who will pick holes.",April,
19,"Happiness presents itself before man, wearing the crown of sorrow on its head. He who welcomes it, must also welcome sorrow.",April,
20,"The great secret of true success, of true happiness, then, is this: The man who asks for no return, the perfectly unselfish man, is the more successful",April,
21,The easiest way to make ourselves happy is to see that others are happy,April,
22,"His life also is one of equilibrium and balance. Whether on the ground of materialism, or of intellect, or of spirituality, the compensation that is given by the Lord to everyone impartially is exactly the same",April,
23,"Honesty is the best policy, and a virtuous man, must gain in the end",April,
24,"Every man, should take up his own ideal and endeavour to accomplish it. That is the surer way of progress than taking up other men's ideals, which he can never hope to accomplish",April,
25,Obedience is the first duty.,April,
26,"He who always speculates as to what awaits him in future, accomplishes nothing whatsoever. What you have understood as true and good, just do that at once.",April,
27,"Perfect love, the heart never reacting, this is what builds character",April,
28,He who gives man spiritual knowledge is the greatest benefactor of mankind,April,
29,"Whenever you promise to do any work, you must do it exactly at the appointed time,  or people lose their faith in you",April,
