day,Quote,Month
1,"The history of the world is the history of a few men who had faith in themselves.  That faith calls out the divinity within.  You can do anything. You fail only when you do not strive sufficiently to manifest infinite power. As soon as a man or a nation loses faith, death comes.",March
2,"It is the coward and the fool who says, ""This is the fate""-- so says the sanskrit proverb. But it is the strong man who stands up and says, ""I will make my fate"". It is people who are getting old who talk of fate.",March
3,"Take care! Beware of everything that is untrue; stick to truth and we shall succeed, may be slowly, but surely. Work on as if I, never existed. Work as if on each of you, depended the whole work.",March
4,"Test everything, try everything, and then believe it, and if you find it for the good, and if you find it for the good of many, give it to all",March
5,"Weak he may be in the beginning, is sure to reach the goal at the end if he assiduously applies himself to gain it.",March
6,"Throw overboard all idea of jealousy and egoism, once for all. Come on to the practical field with the tremendous energy; to work, in the fullness of strength!",March
7,"Hold on to the ideal. March On! Do not look back upon little mistakes and things. In this battle field of ours, the dust of mistakes must be raised. Those who are so thin-skinned that they cannot bear the dust, let them get out of the ranks.",March
8,"What we think, that our body becomes. Everything is manufactured by thought, and thus we are the manufacturers of our own lives. We alone are responsible for whatever we do",March
9,"All power is within you…Believe in that, do not believe that you are weak… Stand up and express the divinity within you",March
10,Unchaste imagination is as bad as unchast action. Controlled desire leads to the highest result. Transform the sexual energy into spiritual energy,March
11,"Any action, that makes us go, Godword is a good action, and is our duty; Any action that makes us go downword is evil and is not our duty",March
12,Character has to be established through a thousand stumbles,March
13,Chastity is the life of a nation.,March
14,"If a man with an ideal makes a thousand mistakes, I am sure the man without an ideal makes 50000. Therefore, it is better to have an ideal",March
15,"The older I grow, the more everything seems to me to lie in manliness. This is my new gospel",March
16,"""Fortune favours the brave and energetic"". Do not look back -- forward, infinite energy, infinite enthusiasm, infinite daring, and infinite patience -- then alone can great deeds be accomplished",March
17,"Civilisation, true civilisation should mean the power of taking the animal-man out of his sense-life.",March
18,"""Arise, Awake, sleep no more; Within each of you there is the power to remove all wants and all miseries. Believe this, and that power will be manifested.""",March
19,"Three things are necessary to make every man great, every nation great
1. Conviction of the power of Godness
2. The absence of jealousy and suspicion
3. Helping all, who are trying to be and do good",March
20,"Have faith in yourselves -- All power is within you -- Be conscious and bring it out. Say, ""I can do everything.""  ""Even the poison of snake is powerless, if you can firmly deny it."" Beware! No saying ""Nay"", no negative thoughts!",March
21,"To think there is any imperfection, creates it. Thoughts of strength and perfection alone cure it",March
